Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Blk_MQBlk_3,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.15,14,0,5.15,5.23,6
180212_Blk_SWBlk_1,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.22,30,15,5.1,5.26,10
180212_Blk_SWBlk_2,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.31,32,0,5.21,5.35,10
180212_Blk_SWBlk_3,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.24,68,0,5.17,5.35,17
180212_Poo_TruePoo_Full1,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.14,37,0,5.12,5.22,14
180212_Poo_TruePoo_Full2,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.23,18,2,5.19,5.24,13
180212_Poo_TruePoo_Full3,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.26,87,0,5.17,5.37,18
180212_Poo_TruePoo_Half1,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.28,58,0,5.18,5.35,16
180212_Poo_TruePoo_Half2,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.19,168,6,5.16,5.22,127
180212_Poo_TruePoo_Half3,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.19,6,3,5.16,5.23,5
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,62,1,5.2,5.35,12
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.13,757,0,5.09,5.38,326
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.3,10,32,5.2,5.34,7
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.23,130,17,5.18,5.36,41
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.21,17,0,5.16,5.24,6
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.17,7,4,5.17,5.25,6
180212_Smp_L1C33DCM_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.21,97,0,5.19,5.37,18
180212_Smp_L1C33DCM_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.13,13,0,5.12,5.23,6
180212_Smp_L1C33DCM_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.23,42,0,5.19,5.27,17
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.23,16,0,5.17,5.24,9
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,7,0,5.18,5.24,8
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.11,22,16,5.08,5.16,9
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,43,0,5.19,5.26,24
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.21,31,6,5.12,5.22,11
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,92,0,5.18,5.29,74
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.18,34,0,5.1,5.24,6
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.21,18,25,5.12,5.28,11
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.26,29,4,5.21,5.32,16
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.26,84,0,5.17,5.38,20
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,56,0,5.11,5.25,28
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.12,23,5,5.11,5.24,9
180212_Smp_L2C2DCM_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.24,60,13,5.17,5.31,16
180212_Smp_L2C2DCM_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.23,45,0,5.18,5.25,32
180212_Smp_L2C2DCM_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.24,10,0,5.21,5.25,8
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.1,151,16,5.07,5.27,23
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,8,16,5.2,5.3,4
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.2,45,0,5.09,5.27,17
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.22,36,3,5.19,5.24,16
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.14,69,8,5.12,5.26,17
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.14,60,0,5.13,5.27,16
180212_Std_4uMhilicMix4_1,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.4,20544276,363001,5.36,5.47,11001184
180212_Std_4uMhilicMix4_2,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,36252820,211697,5.38,5.5,19246748
180212_Blk_MQBlk_1,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.46,2828,0,5.38,5.57,924
180212_Blk_MQBlk_2,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,322,25,5.39,5.49,114
180212_Blk_MQBlk_3,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,1256,0,5.41,5.48,799
180212_Blk_SWBlk_1,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.41,1398,77,5.4,5.56,533
180212_Blk_SWBlk_2,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,1237,40,5.4,5.51,571
180212_Blk_SWBlk_3,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.47,1050,0,5.39,5.56,320
180212_Poo_TruePoo_Full1,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,88068,1597,5.4,5.55,41875
180212_Poo_TruePoo_Full2,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,90528,0,5.38,5.5,43216
